userName,review,at,rating,date,bank,source
Zeeynii Ahmad,I need support you,2025-04-26 21:36:30,5,2025-04-26,CBE,Google Play
Elias Yusuf,the worst Mobile banking i have ever seen in my life,2025-04-26 20:06:19,1,2025-04-26,CBE,Google Play
muktar mohamed,super,2025-04-26 13:12:32,5,2025-04-26,CBE,Google Play
Adib Seid,ጠጀጨገጀ።ጀገ,2025-04-26 10:34:03,5,2025-04-26,CBE,Google Play
Dani Kura Heven,i like the app,2025-04-26 09:43:28,5,2025-04-26,CBE,Google Play
Gazany Hhh,the Best,2025-04-26 08:51:19,1,2025-04-26,CBE,Google Play
belete teshome,nice,2025-04-26 06:52:40,5,2025-04-26,CBE,Google Play
Wotete,good,2025-04-25 23:03:26,5,2025-04-25,CBE,Google Play
Yohans kelali,good,2025-04-25 11:23:17,5,2025-04-25,CBE,Google Play
Abreham Negussie,to other bank is bad,2025-04-25 08:12:26,1,2025-04-25,CBE,Google Play
Abubekr Mohammed,tank's,2025-04-25 06:22:36,5,2025-04-25,CBE,Google Play
قنات كارتون R5,its good but add more features such like. bank statement showing,2025-04-24 13:34:59,5,2025-04-24,CBE,Google Play
kedir beshir,it is so nice,2025-04-24 12:18:02,5,2025-04-24,CBE,Google Play
Abdii Ifa Mikaa'ina,good,2025-04-21 15:27:21,5,2025-04-21,CBE,Google Play
Felmata Tesfa,Very Good👍,2025-04-21 15:13:05,5,2025-04-21,CBE,Google Play
EnergyHarmony,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2025-04-21 11:44:01,2,2025-04-21,CBE,Google Play
kedir mohammed,"wow, amazing app",2025-04-21 10:35:11,5,2025-04-21,CBE,Google Play
Daniel Dani,use ful,2025-04-21 08:11:23,5,2025-04-21,CBE,Google Play
Bahiru Berhanu Keno,Great app,2025-04-21 08:05:41,5,2025-04-21,CBE,Google Play
Danial Gidey,well app,2025-04-20 13:14:07,5,2025-04-20,CBE,Google Play
ayele Nimani,Actually it is inactive,2025-04-19 19:01:42,4,2025-04-19,CBE,Google Play
kadire Abedu,good,2025-04-19 18:10:32,4,2025-04-19,CBE,Google Play
Ibsa Ibro,ok,2025-04-19 16:39:28,2,2025-04-19,CBE,Google Play
Olbaanaa Asafaa,best app,2025-04-19 14:51:50,5,2025-04-19,CBE,Google Play
Nusba Sengero,amazing,2025-04-19 13:56:43,1,2025-04-19,CBE,Google Play
Jema,good,2025-04-19 13:14:01,5,2025-04-19,CBE,Google Play
Beyene Kahsay,I like,2025-04-19 12:52:13,5,2025-04-19,CBE,Google Play
muna yusuf,"slow, only one account is used",2025-04-19 07:37:43,2,2025-04-19,CBE,Google Play
Osamaa Oumer,ok,2025-04-18 23:03:14,5,2025-04-18,CBE,Google Play
Abrsh Baba,always CBE is the leading Commercial Bank💪💪💪,2025-04-18 18:11:57,5,2025-04-18,CBE,Google Play
hayder fentaw,i like it,2025-04-18 18:02:33,5,2025-04-18,CBE,Google Play
Jonathan Getachew,why removing screenshot feature why?,2025-04-18 15:47:21,1,2025-04-18,CBE,Google Play
Ali Tadesse,nice apps where network is good in connection,2025-04-18 14:30:08,5,2025-04-18,CBE,Google Play
pawlos tadlo,Thank you!!!,2025-04-18 11:40:52,5,2025-04-18,CBE,Google Play
