userName,review,at,rating,date,bank,source
Daniel Berhanu,"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",2024-11-17 19:11:45,1,2024-11-17,BOA,Google Play
Nah Om,Very good,2024-11-14 12:52:39,5,2024-11-14,BOA,Google Play
abay,One of the poorest mobile banking system,2024-11-13 10:35:40,1,2024-11-13,BOA,Google Play
Yohannes Demerew,❤❤❤❤❤❤,2024-11-12 18:39:07,5,2024-11-12,BOA,Google Play
Zelalem Bayh,Oene,2024-11-12 14:20:14,5,2024-11-12,BOA,Google Play
legese sis,i find it interesting specially in reciept downloading,2024-11-12 13:43:41,1,2024-11-12,BOA,Google Play
Feven Tekle,it good,2024-11-12 12:50:38,5,2024-11-12,BOA,Google Play
Yoseph Seyoum,"This app crashes everytime, please fix it",2024-11-12 12:08:59,1,2024-11-12,BOA,Google Play
Habib Seid Mohammed,አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,2024-11-12 10:55:52,1,2024-11-12,BOA,Google Play
Habtu Teum Ayele,I need a support the app is not working,2024-11-12 10:10:33,5,2024-11-12,BOA,Google Play
tadiya Fantahun,Bast bank of ethiopia,2024-11-12 10:01:11,5,2024-11-12,BOA,Google Play
henok john,Good,2024-11-12 09:45:45,5,2024-11-12,BOA,Google Play
ORBIT CONSULTANCY,very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,2024-11-12 09:15:50,1,2024-11-12,BOA,Google Play
Jabessa Badasa,"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",2024-11-12 09:13:20,5,2024-11-12,BOA,Google Play
Nahom Ahmed,The worst App i have never seen like this before,2024-11-12 08:48:40,1,2024-11-12,BOA,Google Play
Kiebron Yemane,Wweeeer,2024-11-12 07:21:44,4,2024-11-12,BOA,Google Play
Aklilu Shwalem,Infinx,2024-11-12 06:52:38,5,2024-11-12,BOA,Google Play
amanuel temesgen,Great service,2024-11-12 04:17:47,5,2024-11-12,BOA,Google Play
abebe melese,👍,2024-11-11 10:59:32,5,2024-11-11,BOA,Google Play
Haftom Kelemewerk,This app is not available on all android versions and some times it is not functional.,2024-11-08 11:41:15,1,2024-11-08,BOA,Google Play
Henok Abrhame,senayt Mesfin,2024-11-08 11:13:42,4,2024-11-08,BOA,Google Play
Lika Lika,Bad app vety bad.,2024-11-07 04:21:50,1,2024-11-07,BOA,Google Play
Mudin mudin,Nice,2024-11-06 14:24:50,5,2024-11-06,BOA,Google Play
Aschalew W/yohnse,Abessnya Banke,2024-11-05 12:05:11,5,2024-11-05,BOA,Google Play
Amanuel HabteMARIAM Asfaw,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",2024-11-04 08:45:20,1,2024-11-04,BOA,Google Play
Abdii B,Okay,2024-11-03 16:25:36,5,2024-11-03,BOA,Google Play
Ermias Wolde,Professional on banking app,2024-11-01 13:08:51,5,2024-11-01,BOA,Google Play
bk love,Has some nice interface but always freezes or slow to load .App developers please fix this issue.,2024-10-27 20:37:31,3,2024-10-27,BOA,Google Play
Alexander Abebe,አይሰራም አስተካክሉት,2024-10-26 14:13:59,5,2024-10-26,BOA,Google Play
Tigist Tg,Please try another because this app doesn't feet the need of this generation,2024-10-25 19:17:13,1,2024-10-25,BOA,Google Play
Negash Bekele,Good,2024-10-25 14:40:10,4,2024-10-25,BOA,Google Play
tekalign ermajo,Fast transfer,2024-10-24 08:51:40,5,2024-10-24,BOA,Google Play
Yordanos Yigzaw,"What's up I can't log in, what's wrong",2024-10-22 02:57:44,5,2024-10-22,BOA,Google Play
Ameru Mehamed,Amrumehamed,2024-10-21 13:43:38,1,2024-10-21,BOA,Google Play
Halefom Kahsay,Good,2024-10-19 13:42:22,5,2024-10-19,BOA,Google Play
